gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
NFKBIA,0,0.403189063,0.918,0.878,0
TMSB10,7.96E-263,0.490521059,0.987,0.965,2.91E-258
RPS26,2.89E-251,-0.377809017,0.956,0.95,1.06E-246
RPS29,2.71E-238,-0.359539203,0.971,0.958,9.94E-234
PFN1,8.34E-203,0.909267333,0.912,0.793,3.05E-198
SERF2,2.91E-182,0.619809329,0.877,0.768,1.07E-177
ACTB,7.79E-165,0.855558028,0.985,0.969,2.85E-160
S100A4,6.32E-164,1.029289286,0.769,0.605,2.31E-159
ACTG1,1.27E-161,0.341743138,0.903,0.857,4.63E-157
HLA-C,5.04E-160,-0.283426639,0.965,0.981,1.84E-155
TXNIP,1.99E-146,0.501282013,0.754,0.657,7.30E-142
OCIAD2,3.35E-146,-0.979330016,0.252,0.409,1.22E-141
RAC2,1.01E-135,1.192373768,0.644,0.406,3.71E-131
TNFAIP3,3.85E-133,-0.140985288,0.62,0.663,1.41E-128
CFL1,1.61E-128,0.760767333,0.844,0.71,5.90E-124
IL32,3.71E-128,1.534900942,0.575,0.376,1.36E-123
IFITM3,7.71E-127,0.685164712,0.258,0.197,2.82E-122
DUSP1,1.26E-126,0.273978279,0.736,0.716,4.61E-122
LINC01619,3.47E-114,-0.991937929,0.234,0.358,1.27E-109
S1PR1,4.73E-104,-0.802573931,0.216,0.36,1.73E-99
HSP90AB1,1.35E-103,0.296228419,0.788,0.712,4.96E-99
MT-ATP6,1.96E-99,-0.217350667,0.921,0.922,7.18E-95
SNHG8,3.98E-98,-0.397218304,0.614,0.69,1.46E-93
TRABD,4.02E-98,-0.604898771,0.252,0.333,1.47E-93
RASA3,1.56E-97,-0.534132284,0.378,0.467,5.70E-93
LIMD2,2.05E-97,-0.198278103,0.715,0.736,7.51E-93
SRSF5,1.76E-94,0.323907888,0.813,0.74,6.43E-90
PDCD4,1.81E-93,-0.898354807,0.387,0.55,6.63E-89
FTH1,7.89E-89,-0.766449642,0.975,0.988,2.89E-84
NDUFB2,8.23E-89,0.681491772,0.465,0.317,3.01E-84
AGTRAP,2.71E-88,1.603486412,0.232,0.086,9.93E-84
IL2RG,7.38E-88,1.180412171,0.54,0.327,2.70E-83
CD3E,1.83E-86,0.516832066,0.628,0.591,6.70E-82
RAB5IF,4.76E-86,0.386604235,0.299,0.243,1.74E-81
RPL6,7.15E-86,-0.128053461,0.986,0.973,2.62E-81
EML4,2.40E-85,-0.695694988,0.476,0.61,8.77E-81
CIB1,3.29E-85,-0.7284844,0.433,0.569,1.20E-80
LINC00861,1.16E-81,1.125258194,0.278,0.146,4.25E-77
CCL5,1.88E-81,0.797107667,0.388,0.314,6.89E-77
TSPO,3.07E-81,0.946732662,0.442,0.284,1.13E-76
B2M,4.09E-81,0.393804453,0.997,0.998,1.50E-76
OAZ1,2.25E-77,1.004765028,0.636,0.436,8.23E-73
ARPC1B,2.86E-76,1.352490169,0.531,0.284,1.05E-71
PLEKHO1,1.95E-75,-0.749887476,0.17,0.261,7.13E-71
ARPC3,2.21E-75,0.695438042,0.687,0.541,8.08E-71
HCST,3.01E-75,0.790117853,0.712,0.57,1.10E-70
RPL22,7.20E-75,-0.214690981,0.939,0.932,2.63E-70
PSME1,1.12E-74,0.638527049,0.696,0.552,4.10E-70
SPOCK2,5.87E-74,-0.721490433,0.376,0.518,2.15E-69
KLF2,1.78E-73,0.41236367,0.716,0.625,6.53E-69
GZMH,2.39E-71,1.607447889,0.256,0.112,8.76E-67
CST7,3.53E-70,1.016996597,0.351,0.244,1.29E-65
CLIC1,1.60E-69,0.899018266,0.559,0.368,5.86E-65
HSPA8,2.51E-69,0.564877746,0.737,0.631,9.17E-65
PRMT2,3.30E-69,-0.336345223,0.349,0.381,1.21E-64
FXYD5,5.89E-69,-0.320607856,0.855,0.877,2.15E-64
PSME2,3.41E-67,1.10607384,0.394,0.219,1.25E-62
APRT,9.95E-67,0.461803556,0.561,0.458,3.64E-62
GSTP1,1.56E-66,0.947572918,0.491,0.317,5.70E-62
CCL4,6.24E-66,1.486846678,0.172,0.079,2.28E-61
ANXA6,2.81E-65,2.020276588,0.321,0.101,1.03E-60
MAP3K8,6.38E-65,0.320979799,0.33,0.257,2.34E-60
PABPC1,2.14E-64,-0.457777865,0.926,0.95,7.82E-60
TYROBP,3.42E-64,0.821022098,0.331,0.233,1.25E-59
BLOC1S1,6.54E-63,0.924182144,0.352,0.205,2.39E-58
LY6E,8.91E-63,0.747686185,0.517,0.358,3.26E-58
TUBA1B,1.09E-62,0.671904317,0.41,0.303,3.97E-58
CYBA,2.09E-62,0.91871044,0.788,0.612,7.66E-58
PPP1CA,1.60E-61,1.211023118,0.438,0.225,5.86E-57
CTSL,3.65E-60,-2.007615982,0.05,0.09,1.33E-55
GZMA,1.59E-59,1.802412293,0.279,0.112,5.82E-55
TPI1,3.62E-59,0.921205634,0.452,0.269,1.33E-54
ITGB2,9.63E-59,1.033915849,0.637,0.4,3.53E-54
NR4A2,1.26E-58,-0.152197216,0.365,0.388,4.60E-54
HLA-DPA1,2.62E-58,0.728054565,0.386,0.236,9.58E-54
HOPX,3.70E-58,1.86925916,0.264,0.1,1.35E-53
PELI1,1.11E-57,0.220724727,0.286,0.26,4.06E-53
RPL12,1.33E-57,-0.249501899,0.985,0.97,4.86E-53
PMAIP1,4.20E-57,0.574229787,0.317,0.207,1.54E-52
HNRNPDL,1.01E-56,0.182697149,0.758,0.715,3.71E-52
ANAPC16,1.13E-56,0.68576213,0.482,0.336,4.15E-52
BCL11B,4.01E-55,-0.552637077,0.275,0.369,1.47E-50
SMAD7,4.44E-55,-1.006536506,0.135,0.254,1.62E-50
RNASET2,8.18E-55,0.477654526,0.443,0.342,3.00E-50
SBDS,1.07E-54,0.151216759,0.594,0.576,3.91E-50
TPT1,1.09E-54,-0.224141074,0.987,0.976,4.00E-50
CD6,1.39E-54,-0.514765201,0.262,0.355,5.08E-50
ZEB1,1.44E-53,-1.215091078,0.193,0.363,5.29E-49
RPL9,2.75E-53,-0.228064747,0.965,0.959,1.01E-48
BIRC2,3.48E-53,-0.897754309,0.207,0.331,1.27E-48
BCL2,1.02E-52,0.366274438,0.252,0.209,3.72E-48
IFITM2,2.79E-52,1.009744103,0.671,0.495,1.02E-47
P2RY8,3.01E-52,-0.736494588,0.254,0.353,1.10E-47
SH3BGRL3,7.01E-52,0.517158429,0.878,0.79,2.57E-47
PHPT1,1.94E-51,0.950306706,0.177,0.096,7.10E-47
JUNB,2.42E-51,-0.151384003,0.874,0.89,8.84E-47
RPL37,3.25E-51,-0.241984178,0.984,0.967,1.19E-46
CNOT6L,3.55E-51,-0.885535046,0.206,0.318,1.30E-46
SKIL,6.13E-51,-1.285268951,0.15,0.305,2.24E-46
RHOH,8.05E-51,0.17724354,0.521,0.501,2.95E-46
CAMK4,9.87E-51,-0.422430404,0.272,0.354,3.61E-46
UBALD2,2.74E-50,0.102687584,0.509,0.505,1.00E-45
RPL24,3.21E-50,-0.218922098,0.965,0.955,1.18E-45
POLR2L,5.16E-50,0.67134806,0.444,0.297,1.89E-45
METTL26,6.24E-50,0.528555544,0.265,0.189,2.29E-45
ANAPC11,8.77E-50,0.798434723,0.275,0.164,3.21E-45
ARID5A,1.02E-49,-1.264068933,0.223,0.439,3.75E-45
DUSP5,6.23E-49,0.799063692,0.242,0.146,2.28E-44
RPL35,1.48E-48,-0.203001694,0.97,0.955,5.43E-44
PRDX2,1.55E-48,0.815626254,0.274,0.173,5.67E-44
GPR183,6.81E-48,-0.20418681,0.2,0.236,2.49E-43
HSPA5,1.25E-47,-0.108515334,0.535,0.525,4.57E-43
HLA-DRB1,1.71E-47,0.625369459,0.367,0.205,6.26E-43
AREG,3.76E-47,0.318764804,0.154,0.143,1.37E-42
LSP1,2.35E-46,0.787325522,0.697,0.504,8.59E-42
U2AF1,2.40E-46,0.801167653,0.072,0.044,8.80E-42
HLA-DRB5,4.03E-46,0.452696389,0.231,0.135,1.47E-41
SNHG15,1.04E-45,0.311604718,0.306,0.257,3.81E-41
CCR7,1.34E-45,-1.060194398,0.174,0.326,4.90E-41
PPP1R15A,1.51E-45,0.532022699,0.459,0.356,5.54E-41
NFKBIZ,2.69E-45,0.636288483,0.449,0.334,9.84E-41
ATP5F1D,2.90E-45,0.382045601,0.571,0.475,1.06E-40
PSMB9,2.11E-44,1.315429634,0.406,0.21,7.73E-40
RPL21,2.13E-44,-0.183323004,0.962,0.948,7.80E-40
SSBP4,4.95E-44,0.84727177,0.292,0.18,1.81E-39
HABP4,5.69E-44,-0.833860425,0.068,0.123,2.08E-39
BSG,6.70E-44,0.758807601,0.339,0.206,2.45E-39
SELENOW,7.28E-44,0.650990161,0.378,0.261,2.66E-39
RPL38,7.40E-44,-0.218723586,0.894,0.897,2.71E-39
NCR3,1.34E-43,1.027575471,0.132,0.068,4.91E-39
RPL10A,1.90E-43,-0.239026932,0.927,0.929,6.95E-39
CYCS,2.74E-43,0.431891198,0.33,0.254,1.00E-38
FAM107B,2.81E-43,-0.36482176,0.483,0.56,1.03E-38
TRBC2,3.43E-43,0.531083997,0.413,0.344,1.26E-38
SARAF,3.60E-43,-0.678852586,0.843,0.917,1.32E-38
JUND,3.62E-43,-0.123704666,0.95,0.962,1.33E-38
TAGLN2,3.81E-43,0.54670766,0.679,0.553,1.39E-38
U2AF1L5,5.76E-43,-1.298899502,0.03,0.067,2.11E-38
RPS8,6.89E-43,-0.218825415,0.987,0.974,2.52E-38
NKG7,8.20E-43,0.82414172,0.384,0.294,3.00E-38
KIAA1109,1.24E-42,-0.386619521,0.188,0.221,4.55E-38
RPS5,3.15E-42,-0.275807578,0.959,0.95,1.15E-37
TOB1,3.37E-42,0.271866552,0.178,0.151,1.23E-37
RPL23A,5.41E-42,-0.17390657,0.941,0.934,1.98E-37
RHBDD2,5.50E-42,-0.777952026,0.195,0.311,2.01E-37
FOSB,6.22E-42,0.306894957,0.159,0.125,2.28E-37
GZMM,1.09E-41,0.417387935,0.376,0.299,3.99E-37
ANKRD12,1.52E-41,-0.456140566,0.53,0.612,5.56E-37
TMEM230,2.13E-41,1.303547078,0.217,0.095,7.80E-37
KRAS,2.14E-41,-0.576713399,0.235,0.315,7.85E-37
NFIL3,2.30E-41,0.993429543,0.188,0.102,8.40E-37
FGFBP2,4.62E-41,0.746676335,0.257,0.149,1.69E-36
SRSF2,1.59E-40,-0.28531729,0.407,0.44,5.81E-36
STK17A,1.78E-40,-0.523697771,0.534,0.665,6.53E-36
PYCARD,1.79E-40,1.953066455,0.211,0.069,6.54E-36
CCSER2,2.39E-40,-0.766940598,0.211,0.303,8.73E-36
IER2,3.43E-40,0.223993479,0.671,0.685,1.25E-35
SNED1,3.63E-40,-1.239510453,0.034,0.065,1.33E-35
POLD4,4.98E-40,0.843317119,0.294,0.182,1.82E-35
ID2,5.26E-40,0.73103835,0.197,0.119,1.93E-35
RPL36,5.67E-40,-0.183615711,0.982,0.965,2.07E-35
RPL5,7.40E-40,-0.18666103,0.973,0.963,2.71E-35
RHOA,1.16E-39,0.355174159,0.762,0.686,4.24E-35
CCL4L2,1.34E-39,1.64472166,0.052,0.018,4.91E-35
EFHD2,1.38E-39,0.674812548,0.496,0.359,5.04E-35
EIF4A1,1.78E-39,0.200874157,0.538,0.49,6.51E-35
RGS19,1.86E-39,1.653487256,0.238,0.092,6.82E-35
ADGRE5,3.21E-39,0.156796404,0.375,0.304,1.17E-34
DDIT4,4.19E-39,-0.245734765,0.412,0.49,1.53E-34
SPON2,5.05E-39,0.81323334,0.161,0.106,1.85E-34
GNAI2,5.60E-39,0.888266865,0.571,0.392,2.05E-34
PMEPA1,6.51E-39,-2.203110348,0.019,0.076,2.38E-34
CCNL1,7.93E-39,0.187116023,0.65,0.609,2.90E-34
KDM7A,1.04E-38,-0.835532439,0.127,0.203,3.80E-34
HLA-B,1.16E-38,0.204899848,0.996,0.996,4.26E-34
RPL35A,1.90E-38,-0.166763987,0.982,0.965,6.94E-34
FCGR3A,2.58E-38,2.129135776,0.185,0.071,9.46E-34
CD99,3.68E-38,0.406020635,0.646,0.544,1.35E-33
FCRL6,5.55E-38,2.524144582,0.13,0.027,2.03E-33
CARD16,9.42E-38,1.280678866,0.262,0.118,3.45E-33
MIF,9.62E-38,0.127320193,0.742,0.708,3.52E-33
UBE2S,1.35E-37,0.601002386,0.221,0.146,4.93E-33
TPM3,1.44E-37,0.301756248,0.763,0.686,5.27E-33
CNBP,1.65E-37,-0.18686574,0.67,0.709,6.03E-33
PRDX5,1.91E-37,0.463918256,0.328,0.235,6.99E-33
RPL13,1.93E-37,-0.241242954,0.992,0.981,7.05E-33
MYL12A,2.42E-37,0.867898406,0.744,0.611,8.85E-33
CALM3,2.75E-37,0.430345252,0.388,0.297,1.01E-32
TGFB1,9.31E-37,-0.705231636,0.699,0.748,3.41E-32
UCP2,1.07E-36,1.656440095,0.39,0.165,3.90E-32
GPSM3,1.19E-36,0.540856038,0.635,0.502,4.36E-32
PIK3IP1,1.30E-36,-0.775338282,0.341,0.505,4.78E-32
HNRNPA2B1,5.10E-36,0.582496672,0.756,0.641,1.87E-31
TUT4,5.21E-36,-0.524081503,0.295,0.394,1.91E-31
GCHFR,5.68E-36,-0.818667353,0.105,0.156,2.08E-31
STX10,1.58E-35,0.922215916,0.176,0.093,5.77E-31
CISD3,2.09E-35,1.946103929,0.133,0.04,7.64E-31
EVL,2.64E-35,0.629368042,0.563,0.439,9.68E-31
TALDO1,2.81E-35,1.480091963,0.263,0.115,1.03E-30
ZFP36L2,5.49E-35,-0.199049942,0.779,0.802,2.01E-30
RPL17,6.71E-35,-0.187665853,0.966,0.954,2.46E-30
POLR2E,1.02E-34,0.959172902,0.253,0.139,3.74E-30
MRPL54,1.26E-34,0.209950415,0.357,0.308,4.63E-30
ABHD17A,1.62E-34,0.76056563,0.431,0.301,5.93E-30
RPL37A,1.66E-34,-0.163543002,0.891,0.895,6.06E-30
TRBC1,3.02E-34,0.891867403,0.217,0.163,1.10E-29
RACK1,3.05E-34,-0.146070015,0.967,0.955,1.12E-29
IRF1,6.92E-34,0.437620122,0.455,0.373,2.53E-29
RPSA,8.41E-34,-0.203168431,0.907,0.917,3.08E-29
TAGAP,9.71E-34,0.514627044,0.391,0.284,3.55E-29
CRIP1,1.26E-33,0.86124739,0.668,0.504,4.60E-29
FXYD7,1.80E-33,-0.996790394,0.053,0.1,6.60E-29
CSNK1G2,2.01E-33,-0.413641242,0.195,0.239,7.35E-29
TMEM219,2.38E-33,0.361992973,0.357,0.285,8.70E-29
COMMD5,2.91E-33,0.842986171,0.111,0.063,1.06E-28
TNFRSF25,3.28E-33,-1.025639537,0.082,0.159,1.20E-28
RPL8,5.70E-33,-0.120104928,0.985,0.969,2.09E-28
